rs_id,chromosome,position,chromosomal_location,functional_consequence,host_gene,p_value,allele_frequency,odds_ratio,related_disease,study_population,sample_size
rs86822412,chr4,7713773,chr4:7713773,downstream_gene_variant,CCL2,1.8733260541179653e-05,0.4758500101408589,2.856785460347372,Pneumonia,East Asian,48765
rs14756669,chr22,199821483,chr22:199821483,regulatory_region_variant,OAS2,2.9936937625009863e-05,0.0864491338167939,1.4743868488068865,Inflammatory response,Middle Eastern,2582
rs4999315,chr3,59690184,chr3:59690184,upstream_gene_variant,S100A8,2.913599772288291e-06,0.4344263114297182,2.542676028183701,Inflammatory response,European,37281
rs27687537,chrX,175452024,chrX:175452024,regulatory_region_variant,IRAK4,3.540654816402432e-05,0.020086402204943198,3.427783645188786,Pneumonia,Middle Eastern,39118
rs38338124,chr1,43858220,chr1:43858220,5_prime_UTR_variant,CD14,4.162380761361309e-05,0.11404616423235531,1.5363799212970415,Thrombosis,East Asian,14610
rs46176955,chr4,25896273,chr4:25896273,5_prime_UTR_variant,OAS3,9.178391447573157e-06,0.1590786990501735,2.359415435917371,Cardiovascular disease,Mixed,40065
rs36503389,chr2,196885885,chr2:196885885,splice_region_variant,LCN2,2.160293148191937e-05,0.15270227869704053,2.568446947333711,Respiratory failure,Middle Eastern,5664
rs75093639,chr10,169749210,chr10:169749210,3_prime_UTR_variant,ADIPOQ,6.9832980939955715e-06,0.1531508777822569,1.9792684239048601,Pneumonia,European,3503
rs89753260,chr8,78681988,chr8:78681988,synonymous_variant,THBD,2.280893851100963e-05,0.39473622108257667,1.5792170771800635,Pneumonia,European,25411
rs38308985,chr15,171640242,chr15:171640242,3_prime_UTR_variant,STAT1,2.5716579576296446e-05,0.3002831387424008,1.2114809905279946,Cardiovascular disease,Mixed,14230
rs90949389,chr9,189393455,chr9:189393455,synonymous_variant,CRP,3.0381167146552905e-05,0.09355682060677284,1.256123823164671,Cytokine storm,East Asian,35505
rs98861742,chr8,44863022,chr8:44863022,splice_region_variant,TLR8,4.744478800729413e-05,0.4831596962065341,3.0401536354795065,Thrombosis,East Asian,45366
rs44524491,chr2,62484623,chr2:62484623,missense_variant,FGG,1.52376423209768e-05,0.057859335863128095,2.7421592636291763,Cardiovascular disease,Middle Eastern,18046
rs9883684,chr7,153251235,chr7:153251235,3_prime_UTR_variant,IL1B,2.2013223162042672e-05,0.06979873507394162,2.2884245842670485,Cytokine storm,Middle Eastern,26428
rs87282117,chr15,39351800,chr15:39351800,downstream_gene_variant,IRF7,1.7290821705497676e-06,0.4555669970186032,1.7210719558400407,Pneumonia,Mixed,49456
rs79461803,chr14,157640927,chr14:157640927,5_prime_UTR_variant,TLR7,3.312948899485556e-05,0.16273842728381138,2.348163250826746,Pneumonia,East Asian,33892
rs67238574,chr3,13647705,chr3:13647705,synonymous_variant,IRF3,2.734004686437055e-05,0.10057868320750825,3.4270031066349405,Cytokine storm,East Asian,45096
rs57661351,chr20,18053089,chr20:18053089,5_prime_UTR_variant,TLR8,3.875888983982212e-05,0.4703544813664527,3.2475856410263573,Inflammatory response,Middle Eastern,35176
rs34744231,chr18,4081913,chr18:4081913,synonymous_variant,ANGPT2,2.9899019940766147e-05,0.46171837516132724,1.3123820049246069,Immune deficiency,Mixed,42506
rs46657579,chr4,79785840,chr4:79785840,5_prime_UTR_variant,STAT1,9.80718329233307e-06,0.03216137156616365,1.8807927938318345,Hypertension,European,47823
